batch,draw,support_slot,center,original_context_nodes,draw_context_nodes,context_jaccard,node_set_changed,graph_tensors_changed
0,7,27,141402,2,2,1.0,False,False
0,7,28,111056,1,1,1.0,False,False
0,7,29,1841,3,3,1.0,False,False
0,7,30,137821,0,0,1.0,False,False
0,7,31,46731,2,2,1.0,False,False
0,7,32,71725,12,14,0.5294117647058824,True,True
0,7,33,103468,19,20,0.3,True,True
0,7,34,105546,2,2,1.0,False,False
0,7,35,99944,11,11,0.29411764705882354,True,True
0,7,36,113460,10,10,0.1111111111111111,True,True
0,7,37,98104,1,1,1.0,False,False
0,7,38,91888,0,0,1.0,False,False
0,7,39,36237,0,0,1.0,False,False
0,7,40,83916,1,1,1.0,False,False
0,7,41,147819,11,11,1.0,False,False
0,7,42,11000,2,2,1.0,False,False
0,7,43,148867,1,1,1.0,False,False
